number          |    site_ID          |  site_type          |  longitude          |   latitude          | site_deployment_year          |    cell_ID          | configuration          |       band          |         BW          | cell_range_km          | cell_direction_az          | cell_capacity_Mbps          | cell_throughput_Mbps          | cell_deployment_year          | owned_transmission
6		|		s14		|		rent_rooftop		|		-345.00000		|		-597.55753		|		2000		|		Eca1#112		|		EUTRAN@2600+1800, LTE-A, R11, CA, 20+20 MHz, 64 QAM, 2x2 MIMO, 344 Mbps		|		2.6		1.8		|		20.000		20.000		|		0.250		|		90.000		|		59.509277343750000		|		2.014068544762084		|		2015		|		1
6		|		s14		|		rent_rooftop		|		-345.00000		|		-597.55753		|		2000		|		Eca1#113		|		EUTRAN@2600+1800, LTE-A, R11, CA, 20+20 MHz, 64 QAM, 2x2 MIMO, 344 Mbps		|		2.6		1.8		|		20.000		20.000		|		0.250		|		210.000		|		59.509277343750000		|		5.811884022840367		|		2015		|		1
6		|		s14		|		rent_rooftop		|		-345.00000		|		-597.55753		|		2000		|		Eca1#114		|		EUTRAN@2600+1800, LTE-A, R11, CA, 20+20 MHz, 64 QAM, 2x2 MIMO, 344 Mbps		|		2.6		1.8		|		20.000		20.000		|		0.250		|		330.000		|		59.509277343750000		|		3.991678614464747		|		2015		|		1
7		|		s16		|		shared_rent_rooftop		|		0.00000		|		-1039.23048		|		1995		|		Eca1#16		|		EUTRAN@2600+1800, LTE-A, R11, CA, 20+20 MHz, 64 QAM, 2x2 MIMO, 344 Mbps		|		2.6		1.8		|		20.000		20.000		|		0.250		|		90.000		|		59.509277343750000		|		2.010927521251352		|		2015		|		1
7		|		s16		|		shared_rent_rooftop		|		0.00000		|		-1039.23048		|		1995		|		Eca1#17		|		EUTRAN@2600+1800, LTE-A, R11, CA, 20+20 MHz, 64 QAM, 2x2 MIMO, 344 Mbps		|		2.6		1.8		|		20.000		20.000		|		0.250		|		210.000		|		59.509277343750000		|		2.530897651780914		|		2015		|		1
7		|		s16		|		shared_rent_rooftop		|		0.00000		|		-1039.23048		|		1995		|		Eca1#18		|		EUTRAN@2600+1800, LTE-A, R11, CA, 20+20 MHz, 64 QAM, 2x2 MIMO, 344 Mbps		|		2.6		1.8		|		20.000		20.000		|		0.250		|		330.000		|		59.509277343750000		|		4.516031892866225		|		2015		|		1
8		|		s17		|		rent_rooftop		|		-600.00000		|		-519.61524		|		2006		|		Eca1#118		|		EUTRAN@2600+1800, LTE-A, R11, CA, 20+20 MHz, 64 QAM, 2x2 MIMO, 344 Mbps		|		2.6		1.8		|		20.000		20.000		|		0.250		|		90.000		|		59.509277343750000		|		0.127234765562290		|		2015		|		1
8		|		s17		|		rent_rooftop		|		-600.00000		|		-519.61524		|		2006		|		Eca1#119		|		EUTRAN@2600+1800, LTE-A, R11, CA, 20+20 MHz, 64 QAM, 2x2 MIMO, 344 Mbps		|		2.6		1.8		|		20.000		20.000		|		0.250		|		210.000		|		59.509277343750000		|		0.238496022229174		|		2015		|		1
8		|		s17		|		rent_rooftop		|		-600.00000		|		-519.61524		|		2006		|		Eca1#120		|		EUTRAN@2600+1800, LTE-A, R11, CA, 20+20 MHz, 64 QAM, 2x2 MIMO, 344 Mbps		|		2.6		1.8		|		20.000		20.000		|		0.250		|		330.000		|		59.509277343750000		|		4.424065475721910		|		2015		|		1
9		|		s18		|		rent_rooftop		|		-1380.00000		|		1195.11506		|		1995		|		Eca6#43		|		EUTRAN@2600+2100+1800, LTE-A, R13, CA, 20+20+20 MHz, 256 QAM, 2x2 MIMO, 690 Mbps		|		2.6		2.1		1.8		|		20.000		20.000		20.000		|		0.250		|		90.000		|		120.162963867187500		|		4.630657072910455		|		2016		|		1
9		|		s18		|		rent_rooftop		|		-1380.00000		|		1195.11506		|		1995		|		Eca6#44		|		EUTRAN@2600+2100+1800, LTE-A, R13, CA, 20+20+20 MHz, 256 QAM, 2x2 MIMO, 690 Mbps		|		2.6		2.1		1.8		|		20.000		20.000		20.000		|		0.250		|		210.000		|		120.162963867187500		|		6.749077560210504		|		2016		|		1
9		|		s18		|		rent_rooftop		|		-1380.00000		|		1195.11506		|		1995		|		Eca6#45		|		EUTRAN@2600+2100+1800, LTE-A, R13, CA, 20+20+20 MHz, 256 QAM, 2x2 MIMO, 690 Mbps		|		2.6		2.1		1.8		|		20.000		20.000		20.000		|		0.250		|		330.000		|		120.162963867187500		|		4.496612340756195		|		2016		|		1
10		|		s19		|		rent_tower		|		-450.00000		|		-779.42286		|		1998		|		Eca6#49		|		EUTRAN@2600+2100+1800, LTE-A, R13, CA, 20+20+20 MHz, 256 QAM, 2x2 MIMO, 690 Mbps		|		2.6		2.1		1.8		|		20.000		20.000		20.000		|		0.250		|		90.000		|		120.162963867187500		|		22.975534349087081		|		2016		|		1
10		|		s19		|		rent_tower		|		-450.00000		|		-779.42286		|		1998		|		Eca6#50		|		EUTRAN@2600+2100+1800, LTE-A, R13, CA, 20+20+20 MHz, 256 QAM, 2x2 MIMO, 690 Mbps		|		2.6		2.1		1.8		|		20.000		20.000		20.000		|		0.250		|		210.000		|		120.162963867187500		|		1.442221712753173		|		2016		|		1
10		|		s19		|		rent_tower		|		-450.00000		|		-779.42286		|		1998		|		Eca6#51		|		EUTRAN@2600+2100+1800, LTE-A, R13, CA, 20+20+20 MHz, 256 QAM, 2x2 MIMO, 690 Mbps		|		2.6		2.1		1.8		|		20.000		20.000		20.000		|		0.250		|		330.000		|		120.162963867187500		|		0.989917978396498		|		2016		|		1
11		|		s21		|		rent_rooftop		|		1125.00000		|		649.51905		|		2002		|		Eca1#43		|		EUTRAN@2600+1800, LTE-A, R11, CA, 20+20 MHz, 64 QAM, 2x2 MIMO, 344 Mbps		|		2.6		1.8		|		20.000		20.000		|		0.250		|		90.000		|		59.509277343750000		|		18.065006119406618		|		2015		|		0
11		|		s21		|		rent_rooftop		|		1125.00000		|		649.51905		|		2002		|		Eca1#44		|		EUTRAN@2600+1800, LTE-A, R11, CA, 20+20 MHz, 64 QAM, 2x2 MIMO, 344 Mbps		|		2.6		1.8		|		20.000		20.000		|		0.250		|		210.000		|		59.509277343750000		|		0.251746238873496		|		2015		|		0
11		|		s21		|		rent_rooftop		|		1125.00000		|		649.51905		|		2002		|		Eca1#45		|		EUTRAN@2600+1800, LTE-A, R11, CA, 20+20 MHz, 64 QAM, 2x2 MIMO, 344 Mbps		|		2.6		1.8		|		20.000		20.000		|		0.250		|		330.000		|		59.509277343750000		|		1.420593522945313		|		2015		|		0
12		|		s22		|		rent_rooftop		|		-1125.00000		|		1299.03811		|		2002		|		Eca1#130		|		EUTRAN@2600+1800, LTE-A, R11, CA, 20+20 MHz, 64 QAM, 2x2 MIMO, 344 Mbps		|		2.6		1.8		|		20.000		20.000		|		0.250		|		90.000		|		59.509277343750000		|		1.225172567550558		|		2015		|		1
12		|		s22		|		rent_rooftop		|		-1125.00000		|		1299.03811		|		2002		|		Eca1#131		|		EUTRAN@2600+1800, LTE-A, R11, CA, 20+20 MHz, 64 QAM, 2x2 MIMO, 344 Mbps		|		2.6		1.8		|		20.000		20.000		|		0.250		|		210.000		|		59.509277343750000		|		4.925703916286738		|		2015		|		1
12		|		s22		|		rent_rooftop		|		-1125.00000		|		1299.03811		|		2002		|		Eca1#132		|		EUTRAN@2600+1800, LTE-A, R11, CA, 20+20 MHz, 64 QAM, 2x2 MIMO, 344 Mbps		|		2.6		1.8		|		20.000		20.000		|		0.250		|		330.000		|		59.509277343750000		|		4.798722005402904		|		2015		|		1
13		|		s27		|		shared_rent_rooftop		|		1035.00000		|		-1195.11506		|		2005		|		Eca1#25		|		EUTRAN@2600+1800, LTE-A, R11, CA, 20+20 MHz, 64 QAM, 2x2 MIMO, 344 Mbps		|		2.6		1.8		|		20.000		20.000		|		0.250		|		90.000		|		59.509277343750000		|		2.844712572356515		|		2015		|		0
13		|		s27		|		shared_rent_rooftop		|		1035.00000		|		-1195.11506		|		2005		|		Eca1#26		|		EUTRAN@2600+1800, LTE-A, R11, CA, 20+20 MHz, 64 QAM, 2x2 MIMO, 344 Mbps		|		2.6		1.8		|		20.000		20.000		|		0.250		|		210.000		|		59.509277343750000		|		1.352252000219862		|		2015		|		0
13		|		s27		|		shared_rent_rooftop		|		1035.00000		|		-1195.11506		|		2005		|		Eca1#27		|		EUTRAN@2600+1800, LTE-A, R11, CA, 20+20 MHz, 64 QAM, 2x2 MIMO, 344 Mbps		|		2.6		1.8		|		20.000		20.000		|		0.250		|		330.000		|		59.509277343750000		|		3.361238938472982		|		2015		|		0
14		|		s28		|		shared_rent_rooftop		|		1200.00000		|		519.61524		|		2001		|		Eca1#46		|		EUTRAN@2600+1800, LTE-A, R11, CA, 20+20 MHz, 64 QAM, 2x2 MIMO, 344 Mbps		|		2.6		1.8		|		20.000		20.000		|		0.250		|		90.000		|		59.509277343750000		|		3.335951428227954		|		2015		|		0
14		|		s28		|		shared_rent_rooftop		|		1200.00000		|		519.61524		|		2001		|		Eca1#47		|		EUTRAN@2600+1800, LTE-A, R11, CA, 20+20 MHz, 64 QAM, 2x2 MIMO, 344 Mbps		|		2.6		1.8		|		20.000		20.000		|		0.250		|		210.000		|		59.509277343750000		|		1.852291039977289		|		2015		|		0
14		|		s28		|		shared_rent_rooftop		|		1200.00000		|		519.61524		|		2001		|		Eca1#48		|		EUTRAN@2600+1800, LTE-A, R11, CA, 20+20 MHz, 64 QAM, 2x2 MIMO, 344 Mbps		|		2.6		1.8		|		20.000		20.000		|		0.250		|		330.000		|		59.509277343750000		|		3.968306736075117		|		2015		|		0
15		|		s29		|		rent_rooftop		|		-900.00000		|		-935.30744		|		2009		|		Eca1#13		|		EUTRAN@2600+1800, LTE-A, R11, CA, 20+20 MHz, 64 QAM, 2x2 MIMO, 344 Mbps		|		2.6		1.8		|		20.000		20.000		|		0.250		|		90.000		|		59.509277343750000		|		0.145358046840709		|		2015		|		1
15		|		s29		|		rent_rooftop		|		-900.00000		|		-935.30744		|		2009		|		Eca1#14		|		EUTRAN@2600+1800, LTE-A, R11, CA, 20+20 MHz, 64 QAM, 2x2 MIMO, 344 Mbps		|		2.6		1.8		|		20.000		20.000		|		0.250		|		210.000		|		59.509277343750000		|		14.530642338832562		|		2015		|		1
15		|		s29		|		rent_rooftop		|		-900.00000		|		-935.30744		|		2009		|		Eca1#15		|		EUTRAN@2600+1800, LTE-A, R11, CA, 20+20 MHz, 64 QAM, 2x2 MIMO, 344 Mbps		|		2.6		1.8		|		20.000		20.000		|		0.250		|		330.000		|		59.509277343750000		|		1.426800503399035		|		2015		|		1
16		|		s31		|		rent_rooftop		|		-1050.00000		|		-779.42286		|		2005		|		Eca1#133		|		EUTRAN@2600+1800, LTE-A, R11, CA, 20+20 MHz, 64 QAM, 2x2 MIMO, 344 Mbps		|		2.6		1.8		|		20.000		20.000		|		0.250		|		90.000		|		59.509277343750000		|		0.577931362293203		|		2015		|		1
17		|		s32		|		rent_rooftop		|		862.50000		|		298.77876		|		2001		|		Eca6#88		|		EUTRAN@2600+2100+1800, LTE-A, R13, CA, 20+20+20 MHz, 256 QAM, 2x2 MIMO, 690 Mbps		|		2.6		2.1		1.8		|		20.000		20.000		20.000		|		0.250		|		90.000		|		120.162963867187500		|		6.923396737177696		|		2016		|		1
17		|		s32		|		rent_rooftop		|		862.50000		|		298.77876		|		2001		|		Eca6#89		|		EUTRAN@2600+2100+1800, LTE-A, R13, CA, 20+20+20 MHz, 256 QAM, 2x2 MIMO, 690 Mbps		|		2.6		2.1		1.8		|		20.000		20.000		20.000		|		0.250		|		210.000		|		120.162963867187500		|		1.556225348534252		|		2016		|		1
18		|		s35		|		rent_rooftop		|		750.00000		|		1299.03811		|		2003		|		Eca1#7		|		EUTRAN@2600+1800, LTE-A, R11, CA, 20+20 MHz, 64 QAM, 2x2 MIMO, 344 Mbps		|		2.6		1.8		|		20.000		20.000		|		0.250		|		90.000		|		59.509277343750000		|		3.463363299112853		|		2015		|		0
